dated,rating,label,review
2024-04-28 11:34:44,1,Negatif,"ini apk lama' aneh, udh jelas' jaringan nya KUAT, tapi knapa pas download gambar malah ada muncul tulisan 'tidak dapat mengunduh gambar' TOLONG PERBAIKI LAGI"
2024-04-27 07:04:30,1,Negatif,"Pas masukin tanggal lahir kok gak bisa"" bahkan saya belum mencoba aplikasi ini"
2024-04-27 02:13:40,2,Negatif,"Aplikasi ini membuat sy tidak nyaman ,masa foto sya sendiri di kira foto ambil di pin kan gk masuk akal"
2024-04-27 01:46:58,1,Negatif,"Banyak gambar yg tidak bisa diunduh, setelah saya update pun tidak bisa mengunduh gambar nya Akhirnya saya pun Mengunistal ny Mohon diperbaiki dan diberi solusi"
2024-04-27 01:12:03,1,Negatif,Kntl gak bisa udah bener tanggal lahir nya malah UPS sepertinya anda tidak memenuhi persyaratan aplikasi gblok
2024-04-26 15:17:50,1,Negatif,Aplikasi sering ngadat signal bagus jaringan ok tpi aplikasinya gk bagus
2024-04-26 08:45:41,2,Negatif,"Saat aku lagi scroll ke bawah liatin gambaran, kelamaan kayak gambar-gambaran tersebut di sembunyiin gitu, jadi harus buka biar tau isinya apa, apakah bug? Karena semakin ku biarin semakin banyk kayak gitu, wifiku juga baik2 aja kok"
2024-04-25 15:07:28,1,Negatif,Saya kasih 1 dlu karna kalo aku mau unduh malah ad tulisan sebunyikan bagikan dn ap² lain aku tidak bisa download videony jadi mohon di perbaiki ya terima kasih yg ngelangamin ini berarti kita sama terima kaaih sudah membaca komen saya moga komen ini bisa membantu buat perbaiki y maaf agak nggak jelas😓 oke terima kasih🥲
2024-04-25 08:15:44,1,Negatif,Kalo udh ke download lama bgt untuk di buka nya jadi mohon pengembangan sistem ini makasih.
2024-04-23 13:27:32,1,Negatif,"payah, update nya malah jadi gabisa geser kiri/kanan 👎"
2024-04-23 11:31:21,1,Negatif,"semboyannya ""Kami menyempurnakan aplikasi pinterest setiap minggu"" faktanya aplikasi ini masih banyak bug apalagi pas mau masukin foto pin ke favorit sering ga bisa dipencet, ngirim masukan ga pernah ditanggepin 😂"
2024-04-22 14:19:58,2,Negatif,"Maaf untuk saya pribadi tidak nyaman,karena setiap saya cari photo di pencarian selalu tulisan coba cari lagi,pasti itu terus dan terus,udah sayang download ulang juga sama,tolong diperbaiki,masa saya cari pemandangan yang keluar malah foto wanita bikin1,kecewa,tolong diperbaiki demi kenyamanan pengguna pinterest!"
2024-04-22 13:16:15,1,Negatif,Kesalahan validasi itu apa?? Katanya pengoptimalan aplikasi dasar update dan aplikasi gak guna
2024-04-21 18:58:11,1,Negatif,Kenapa yaa kalo lagi nyari foto/ reff itu selalu g muncul hasilnya??
2024-04-20 04:51:42,1,Negatif,Gk bisa masuk padahal udh isi semua nya tar udh ku isi tanggal lahir sm aja gk bisa padahal udh memenuhi syarat gk bagus ku saranin pke google aja di situ ada pinterest jd gk udh repot² download yg gk bisa nyesel download habis²-in kuota
2024-04-20 04:39:19,1,Negatif,"Tolong kembalikan fitur copy paste di pint. Saya ingin menyalin pesan lewat pint, tapi itu sudah gak bisa.... Tolong di tambahkan kembali copy paste tulisan"
2024-04-19 16:44:31,2,Negatif,"pinterest kenapa sih pas mau search gambar yang kita mau muncul tidak dapat menemukan pin padahal keywordnya umum ga aneh-aneh ditambah pas buka apknya lama banget. terus pas cari foto serupa jg gbs, tolong diperbaiki lagii 🙏🏻"
2024-04-19 07:21:35,1,Negatif,"apk apaan mau login aja susah tiap masukin tanggal lahir ga bisa mulu, ga mau lagi download nih apk buang buang kuota aja"
2024-04-19 05:51:38,1,Negatif,Saya buka aplikasi nya kok gak bisa malah keluar lagi... KALIAN G USAH DOWNLOAD!!
2024-04-19 02:40:10,2,Negatif,"Sebenarnya bagus, tapi setidaknya akun yg dinonaktifkan bisa dipulihkan kembali, diberi peringatan aja udh cukup, jangan dinonaktifkan selama nya."
2024-04-18 01:19:40,2,Negatif,"Pedoman komunitasnya memiliki sistem yang aneh. Jika pin yang disimpan sudah jelas dari berbagai aspek sudah melanggar, tidak masalah di batasi bahkan dihapus. Tapi, beda lagi jika pin yang disimpan sifatnya relatif dan tergantung perspektif. Pedoman komunitas Pinterest terlalu kaku hingga tidak segan menghapus pin, hingga memblokir pengguna yang mengulangi tindakan yang sama. Contoh, pin dengan tema gaya berpakaian punk atau gothic itu relatif, tapi pihak Pinterest menbuatnya sama rata. 👎"
2024-04-17 15:53:50,1,Negatif,"Apaan lemot banget pinterest sekarang, padahal sinyal kuat dan lancar tapi pas buka pin malah lemot banget, tolong dong di Perbakin. KENAPA TIAP HARI, TIAP BULAN MINTA UPDATE TERUS SIH ANYINK BARU RI UPDATE UDAH MINTA UPDATE LAGI, PLEASE LAH PINTEREST JANGAN KAYAK OPET"
2024-04-17 06:16:41,1,Negatif,foto di simpan tidak ada di memori 👎👎
2024-04-16 23:41:53,1,Negatif,"Pinterest pas udh update kok setiap mau unduh gambar ga bisa, udh dipencet beberapa kali juga masih belum mendownload pdhl saya lagi butuh buat referensi gambar, eh pas ditungguin sampe 10 menitan saya coba pencet unduh lagi baru bisa, lemot banget, developer tolong perbaiki masalah ini, masalah ini sangat mengganggu fitur2 yg ada di sini"
2024-04-16 05:36:56,1,Negatif,Terlalu banyak gambar ai yg terlalu vulgar
2024-04-16 05:27:05,2,Negatif,"Kok aku gak bisa masuk² ya emng harus pakai email ya sama nomer telepon aku berusaha masuk tapi malah ""ups anda belum cukup umur silahkan coba lagi"" aku udah umur 12 tahun tapi malah gak bisa² gimana tuh aku kasih bintang 2 aja ya"
2024-04-16 01:05:54,2,Negatif,"Ga bisa di buka, ga bisa log in juga, kok bisa gitu ya"
2024-04-16 00:26:19,1,Negatif,padahal udah dikasih tahun bulan hari masih gabisa untuk login pake akun Google giliran pake Facebook malah gabisa ditemukan akunnya gajelas!!:
2024-04-15 05:40:17,2,Negatif,Bagus banget sumpah untuk kalian ayok download pinterest soalnya bagus bagus foto nya bisa milih. Dan hasil nya sesuai semuanya semoga pinterest tetep ada sampai tahun besoknya
2024-04-14 13:23:25,1,Negatif,Kok saya gk bsa daftar ya jg gk bsa di hapus pinterest nya
2024-04-14 10:57:52,1,Negatif,Jelek banget waktu masuk sih biasa aja tapi pas mau masukin umur itu gk bisa 😠😠 gk guna banget aplikasi nya!!
2024-04-14 10:23:10,1,Negatif,"suka ada gangguan saat mencari foto, seperti sinyal, offline, pdhl sy sudah aktifin wifi, ke data, data ke wifi ampe 5 kali😡"
2024-04-14 07:53:12,1,Negatif,"Kenapa pas saya daftar umur asli saya selalu bilang ""umur anda harus yang asli"" kan saya sudah pakai umur yang asli!!!"
2024-04-12 09:45:07,2,Negatif,Gak bisa daftar sulit
2024-04-12 04:43:39,1,Negatif,"Byak bgt masalah, save banyak dari tempat lain g bisa langsung eror, harus nunggu seharian dulu biar bisa lagi, dan kalo save dari pencarian pinterest-nya harus satu-persatu g bisa banyak, dan setelah di update g bisa save kecuali dari pinterest sendiri, makan waktu bgt, proses dan loading nya juga lama padahal youtube dll lancar bgt, dan sering bgt papan yang udah disave kehapus sendiri padahal udah save byak bgt, sia-sia ngabisin waktu berbulan-bula untuk ngesave kalo gini jadinya, Apk sampah"
2024-04-12 02:13:49,1,Negatif,"Untuk mencari foto emang bagus, aku pun suka sekali. tapi aku benci tampilan terbaru, seperti ada foto profil di postingan, dan untuk membaca judul harus di pencet dulu, bagusan yang ga ada foto profil dan judul langsung bisa terbaca."
2024-04-11 18:26:52,1,Negatif,Loading nya lama tiap mo upload foto pasti ada bacaan mengambil aset anda
2024-04-11 13:47:50,1,Negatif,Gimana sih cara daftar akunnya plisssssssss kasih tau dong karena aku gk bisa daftar akunnya padahal aku dah daftar tapi tetep gk bisa maaf ya jadinya aku kasih bintang 1 aja deh 😊🔴
2024-04-11 06:36:24,2,Negatif,tolong di perbaiki aplikasi nya kalau masuk mah ke luar melulu
2024-04-11 02:45:51,1,Negatif,Saya memang belum pernah mencoba apk ini tapi waktu saya mendaftar selalu ada kendala di bagian umur padahal saya sudah mengisi umur secara lengkap dan benar tetapi selalu ada peringatan tidak memenuhi syarat pinterest lain kali di teliti ya!!!!
